[2025-02-08 14:49:02,047] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 2.9876, 'grad_norm': 75.91029357910156, 'learning_rate': 1.1513157894736843e-07, 'epoch': 0.0}
{'loss': 2.8727, 'grad_norm': 69.91223907470703, 'learning_rate': 2.7960526315789475e-07, 'epoch': 0.0}
{'loss': 2.8283, 'grad_norm': 55.43089294433594, 'learning_rate': 4.440789473684211e-07, 'epoch': 0.0}
{'loss': 2.6462, 'grad_norm': 43.802040100097656, 'learning_rate': 6.085526315789474e-07, 'epoch': 0.01}
{'loss': 2.1543, 'grad_norm': 27.225223541259766, 'learning_rate': 7.730263157894738e-07, 'epoch': 0.01}
{'loss': 1.7922, 'grad_norm': 22.139659881591797, 'learning_rate': 9.375000000000001e-07, 'epoch': 0.01}
{'loss': 1.5946, 'grad_norm': 20.033222198486328, 'learning_rate': 1.1019736842105263e-06, 'epoch': 0.01}
{'loss': 1.6547, 'grad_norm': 21.643795013427734, 'learning_rate': 1.2664473684210526e-06, 'epoch': 0.01}
{'loss': 1.5324, 'grad_norm': 20.018789291381836, 'learning_rate': 1.430921052631579e-06, 'epoch': 0.01}
{'loss': 1.4541, 'grad_norm': 21.08913230895996, 'learning_rate': 1.5953947368421055e-06, 'epoch': 0.02}
{'loss': 1.4338, 'grad_norm': 16.842571258544922, 'learning_rate': 1.7598684210526319e-06, 'epoch': 0.02}
{'loss': 1.5498, 'grad_norm': 17.912899017333984, 'learning_rate': 1.924342105263158e-06, 'epoch': 0.02}
{'loss': 1.3617, 'grad_norm': 16.814699172973633, 'learning_rate': 2.0888157894736843e-06, 'epoch': 0.02}
{'loss': 1.355, 'grad_norm': 17.11749267578125, 'learning_rate': 2.2532894736842107e-06, 'epoch': 0.02}
{'loss': 1.4428, 'grad_norm': 16.02458381652832, 'learning_rate': 2.417763157894737e-06, 'epoch': 0.02}
{'loss': 1.3697, 'grad_norm': 14.247218132019043, 'learning_rate': 2.5822368421052634e-06, 'epoch': 0.03}
{'loss': 1.3975, 'grad_norm': 14.829930305480957, 'learning_rate': 2.7467105263157893e-06, 'epoch': 0.03}
{'loss': 1.3597, 'grad_norm': 15.865997314453125, 'learning_rate': 2.911184210526316e-06, 'epoch': 0.03}
{'loss': 1.3673, 'grad_norm': 13.754368782043457, 'learning_rate': 3.0756578947368424e-06, 'epoch': 0.03}
{'loss': 1.2472, 'grad_norm': 15.374271392822266, 'learning_rate': 3.2401315789473688e-06, 'epoch': 0.03}
{'loss': 1.2853, 'grad_norm': 13.402204513549805, 'learning_rate': 3.404605263157895e-06, 'epoch': 0.03}
{'loss': 1.3477, 'grad_norm': 15.113072395324707, 'learning_rate': 3.569078947368421e-06, 'epoch': 0.04}
{'loss': 1.2961, 'grad_norm': 13.332268714904785, 'learning_rate': 3.733552631578948e-06, 'epoch': 0.04}
{'loss': 1.2371, 'grad_norm': 12.980536460876465, 'learning_rate': 3.898026315789474e-06, 'epoch': 0.04}
{'loss': 1.2841, 'grad_norm': 12.724800109863281, 'learning_rate': 4.0625000000000005e-06, 'epoch': 0.04}
{'loss': 1.2597, 'grad_norm': 17.16932487487793, 'learning_rate': 4.226973684210527e-06, 'epoch': 0.04}
{'loss': 1.3685, 'grad_norm': 14.795371055603027, 'learning_rate': 4.391447368421053e-06, 'epoch': 0.04}
{'loss': 1.2979, 'grad_norm': 13.46142292022705, 'learning_rate': 4.5559210526315795e-06, 'epoch': 0.05}
{'loss': 1.2146, 'grad_norm': 13.670451164245605, 'learning_rate': 4.720394736842106e-06, 'epoch': 0.05}
{'loss': 1.3057, 'grad_norm': 13.639775276184082, 'learning_rate': 4.884868421052632e-06, 'epoch': 0.05}
{'loss': 1.2695, 'grad_norm': 12.895758628845215, 'learning_rate': 5.0493421052631586e-06, 'epoch': 0.05}
{'loss': 1.274, 'grad_norm': 12.523776054382324, 'learning_rate': 5.213815789473685e-06, 'epoch': 0.05}
{'loss': 1.3793, 'grad_norm': 13.970741271972656, 'learning_rate': 5.37828947368421e-06, 'epoch': 0.05}
{'loss': 1.2601, 'grad_norm': 12.225281715393066, 'learning_rate': 5.542763157894737e-06, 'epoch': 0.06}
{'loss': 1.2479, 'grad_norm': 12.3673734664917, 'learning_rate': 5.707236842105264e-06, 'epoch': 0.06}
{'loss': 1.2956, 'grad_norm': 12.455676078796387, 'learning_rate': 5.87171052631579e-06, 'epoch': 0.06}
{'loss': 1.2325, 'grad_norm': 13.015815734863281, 'learning_rate': 6.036184210526316e-06, 'epoch': 0.06}
{'loss': 1.2613, 'grad_norm': 11.663650512695312, 'learning_rate': 6.200657894736842e-06, 'epoch': 0.06}
{'loss': 1.2828, 'grad_norm': 13.58168888092041, 'learning_rate': 6.3651315789473685e-06, 'epoch': 0.06}
{'loss': 1.2935, 'grad_norm': 12.616299629211426, 'learning_rate': 6.529605263157896e-06, 'epoch': 0.07}
{'loss': 1.2333, 'grad_norm': 12.308470726013184, 'learning_rate': 6.694078947368422e-06, 'epoch': 0.07}
{'loss': 1.2842, 'grad_norm': 12.605681419372559, 'learning_rate': 6.8585526315789475e-06, 'epoch': 0.07}
{'loss': 1.2428, 'grad_norm': 12.079115867614746, 'learning_rate': 7.023026315789474e-06, 'epoch': 0.07}
{'loss': 1.3356, 'grad_norm': 12.986790657043457, 'learning_rate': 7.1875e-06, 'epoch': 0.07}
{'loss': 1.3223, 'grad_norm': 13.405569076538086, 'learning_rate': 7.351973684210527e-06, 'epoch': 0.07}
{'loss': 1.2636, 'grad_norm': 13.260010719299316, 'learning_rate': 7.516447368421054e-06, 'epoch': 0.08}
{'loss': 1.3679, 'grad_norm': 14.112757682800293, 'learning_rate': 7.680921052631578e-06, 'epoch': 0.08}
{'loss': 1.2961, 'grad_norm': 11.769046783447266, 'learning_rate': 7.845394736842106e-06, 'epoch': 0.08}
{'loss': 1.2148, 'grad_norm': 13.046024322509766, 'learning_rate': 8.009868421052633e-06, 'epoch': 0.08}
{'loss': 1.3541, 'grad_norm': 11.540212631225586, 'learning_rate': 8.174342105263158e-06, 'epoch': 0.08}
{'loss': 1.189, 'grad_norm': 13.126105308532715, 'learning_rate': 8.338815789473685e-06, 'epoch': 0.08}
{'loss': 1.2391, 'grad_norm': 12.900289535522461, 'learning_rate': 8.503289473684211e-06, 'epoch': 0.09}
{'loss': 1.2478, 'grad_norm': 11.132957458496094, 'learning_rate': 8.667763157894738e-06, 'epoch': 0.09}
{'loss': 1.1879, 'grad_norm': 12.217772483825684, 'learning_rate': 8.832236842105264e-06, 'epoch': 0.09}
{'loss': 1.2565, 'grad_norm': 12.034584999084473, 'learning_rate': 8.996710526315791e-06, 'epoch': 0.09}
{'loss': 1.2847, 'grad_norm': 12.416572570800781, 'learning_rate': 9.161184210526316e-06, 'epoch': 0.09}
{'loss': 1.2255, 'grad_norm': 10.213648796081543, 'learning_rate': 9.325657894736842e-06, 'epoch': 0.09}
{'loss': 1.1662, 'grad_norm': 12.161176681518555, 'learning_rate': 9.490131578947369e-06, 'epoch': 0.1}
{'loss': 1.1394, 'grad_norm': 13.163961410522461, 'learning_rate': 9.654605263157896e-06, 'epoch': 0.1}
{'loss': 1.1763, 'grad_norm': 11.371675491333008, 'learning_rate': 9.819078947368422e-06, 'epoch': 0.1}
{'loss': 1.1671, 'grad_norm': 11.295534133911133, 'learning_rate': 9.983552631578947e-06, 'epoch': 0.1}
{'loss': 1.2248, 'grad_norm': 13.08720874786377, 'learning_rate': 9.983528550512445e-06, 'epoch': 0.1}
{'loss': 1.1766, 'grad_norm': 11.796672821044922, 'learning_rate': 9.965226939970719e-06, 'epoch': 0.1}
{'loss': 1.2034, 'grad_norm': 12.205562591552734, 'learning_rate': 9.94692532942899e-06, 'epoch': 0.11}
{'loss': 1.181, 'grad_norm': 12.824398040771484, 'learning_rate': 9.928623718887262e-06, 'epoch': 0.11}
{'loss': 1.2669, 'grad_norm': 12.283292770385742, 'learning_rate': 9.910322108345535e-06, 'epoch': 0.11}
{'loss': 1.248, 'grad_norm': 12.475772857666016, 'learning_rate': 9.892020497803807e-06, 'epoch': 0.11}
{'loss': 1.1836, 'grad_norm': 10.268057823181152, 'learning_rate': 9.87371888726208e-06, 'epoch': 0.11}
{'loss': 1.1595, 'grad_norm': 11.85330581665039, 'learning_rate': 9.855417276720353e-06, 'epoch': 0.11}
{'loss': 1.2065, 'grad_norm': 10.840463638305664, 'learning_rate': 9.837115666178625e-06, 'epoch': 0.12}
{'loss': 1.266, 'grad_norm': 12.441475868225098, 'learning_rate': 9.818814055636897e-06, 'epoch': 0.12}
{'loss': 1.1607, 'grad_norm': 11.484217643737793, 'learning_rate': 9.80051244509517e-06, 'epoch': 0.12}
{'loss': 1.1863, 'grad_norm': 12.508934020996094, 'learning_rate': 9.782210834553441e-06, 'epoch': 0.12}
{'loss': 1.1392, 'grad_norm': 14.49106216430664, 'learning_rate': 9.763909224011715e-06, 'epoch': 0.12}
{'loss': 1.24, 'grad_norm': 11.793285369873047, 'learning_rate': 9.745607613469986e-06, 'epoch': 0.12}
{'loss': 1.254, 'grad_norm': 11.827588081359863, 'learning_rate': 9.727306002928258e-06, 'epoch': 0.13}
{'loss': 1.2069, 'grad_norm': 11.823660850524902, 'learning_rate': 9.709004392386531e-06, 'epoch': 0.13}
{'loss': 1.124, 'grad_norm': 10.23063850402832, 'learning_rate': 9.690702781844803e-06, 'epoch': 0.13}
{'loss': 1.2167, 'grad_norm': 11.713412284851074, 'learning_rate': 9.672401171303076e-06, 'epoch': 0.13}
{'loss': 1.2194, 'grad_norm': 10.14275074005127, 'learning_rate': 9.654099560761348e-06, 'epoch': 0.13}
