[2025-03-03 05:45:32,895] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:32,914] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:32,947] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,113] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,289] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,293] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,304] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,316] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:34,542] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:34,542] [INFO] [comm.py:689:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
[2025-03-03 05:45:34,650] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:34,764] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:34,908] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:35,025] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:35,037] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:35,127] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:35,140] [INFO] [comm.py:658:init_distributed] cdb=None
ninja: no work to do.
Time to load fused_adam op: 0.03647017478942871 seconds
Time to load fused_adam op: 0.10161828994750977 seconds
Time to load fused_adam op: 0.10178756713867188 seconds
Time to load fused_adam op: 0.10155630111694336 seconds
Time to load fused_adam op: 0.10130953788757324 seconds
Time to load fused_adam op: 0.10158467292785645 seconds
Time to load fused_adam op: 0.10156893730163574 seconds
Time to load fused_adam op: 0.10129547119140625 seconds
[2025-03-03 05:45:45,001] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,111] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,121] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,123] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,125] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,125] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,126] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,126] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
{'loss': 1.3111, 'grad_norm': 2.249453796210676, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.2473, 'grad_norm': 1.8049345962002803, 'learning_rate': 1.0116785921370066e-05, 'epoch': 0.0}
{'loss': 1.2037, 'grad_norm': 1.9369025385949348, 'learning_rate': 1.603472631319529e-05, 'epoch': 0.0}
{'loss': 1.274, 'grad_norm': 2.0427865700245356, 'learning_rate': 2.0233571842740133e-05, 'epoch': 0.01}
{'loss': 1.355, 'grad_norm': 1.8870256067791604, 'learning_rate': 2.349044946079009e-05, 'epoch': 0.01}
{'loss': 1.2878, 'grad_norm': 1.7223549923256916, 'learning_rate': 2.6151512234565353e-05, 'epoch': 0.01}
{'loss': 1.2509, 'grad_norm': 1.4467009602421221, 'learning_rate': 2.8401408751761328e-05, 'epoch': 0.01}
{'loss': 1.3154, 'grad_norm': 1.637751360521609, 'learning_rate': 3.03503577641102e-05, 'epoch': 0.01}
{'loss': 1.2386, 'grad_norm': 1.8654969035633884, 'learning_rate': 3.206945262639058e-05, 'epoch': 0.01}
{'loss': 1.1838, 'grad_norm': 1.7099985829843818, 'learning_rate': 3.360723538216016e-05, 'epoch': 0.02}
{'loss': 1.2285, 'grad_norm': 1.5616340526457966, 'learning_rate': 3.499832909537227e-05, 'epoch': 0.02}
{'loss': 1.3932, 'grad_norm': 1.6380478008175041, 'learning_rate': 3.6268298155935426e-05, 'epoch': 0.02}
{'loss': 1.2886, 'grad_norm': 1.4229738789008672, 'learning_rate': 3.743655644336842e-05, 'epoch': 0.02}
{'loss': 1.2036, 'grad_norm': 1.3844761727522439, 'learning_rate': 3.8518194673131395e-05, 'epoch': 0.02}
{'loss': 1.3529, 'grad_norm': 1.5605543611463901, 'learning_rate': 3.952517577398538e-05, 'epoch': 0.02}
{'loss': 1.2802, 'grad_norm': 1.624109244129928, 'learning_rate': 4.0467143685480266e-05, 'epoch': 0.03}
{'loss': 1.2712, 'grad_norm': 1.6899644022922538, 'learning_rate': 4.135198652648473e-05, 'epoch': 0.03}
{'loss': 1.2095, 'grad_norm': 1.6728597575096629, 'learning_rate': 4.218623854776064e-05, 'epoch': 0.03}
{'loss': 1.2508, 'grad_norm': 1.502338731968633, 'learning_rate': 4.297537326300662e-05, 'epoch': 0.03}
{'loss': 1.2963, 'grad_norm': 1.6594226607610008, 'learning_rate': 4.372402130353022e-05, 'epoch': 0.03}
{'loss': 1.2518, 'grad_norm': 1.5138904832059688, 'learning_rate': 4.4436135064956614e-05, 'epoch': 0.03}
{'loss': 1.2166, 'grad_norm': 1.5387741051032329, 'learning_rate': 4.511511501674234e-05, 'epoch': 0.04}
{'loss': 1.2947, 'grad_norm': 1.5322755765642813, 'learning_rate': 4.5763907911482834e-05, 'epoch': 0.04}
{'loss': 1.2477, 'grad_norm': 1.4312245595744921, 'learning_rate': 4.638508407730549e-05, 'epoch': 0.04}
{'loss': 1.2907, 'grad_norm': 1.4758373276096244, 'learning_rate': 4.698089892158018e-05, 'epoch': 0.04}
{'loss': 1.2456, 'grad_norm': 1.4850635738443574, 'learning_rate': 4.7553342364738485e-05, 'epoch': 0.04}
{'loss': 1.2795, 'grad_norm': 1.536928973341937, 'learning_rate': 4.810417893958586e-05, 'epoch': 0.04}
