[2025-03-01 02:38:10,548] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.208, 'grad_norm': 8.539020538330078, 'learning_rate': 4.938271604938272e-08, 'epoch': 0.0}
{'loss': 1.6475, 'grad_norm': 11.576948165893555, 'learning_rate': 9.876543209876543e-08, 'epoch': 0.0}
{'loss': 1.0513, 'grad_norm': 7.275222301483154, 'learning_rate': 1.4814814814814815e-07, 'epoch': 0.0}
{'loss': 1.2787, 'grad_norm': 7.336886882781982, 'learning_rate': 1.9753086419753087e-07, 'epoch': 0.0}
{'loss': 1.3016, 'grad_norm': 6.941965579986572, 'learning_rate': 2.469135802469136e-07, 'epoch': 0.0}
{'loss': 1.1194, 'grad_norm': 6.5099310874938965, 'learning_rate': 2.962962962962963e-07, 'epoch': 0.0}
{'loss': 1.2993, 'grad_norm': 5.428320407867432, 'learning_rate': 3.4567901234567904e-07, 'epoch': 0.0}
{'loss': 1.3043, 'grad_norm': 7.462398529052734, 'learning_rate': 3.9506172839506174e-07, 'epoch': 0.0}
{'loss': 1.2869, 'grad_norm': 7.129437446594238, 'learning_rate': 4.444444444444445e-07, 'epoch': 0.0}
{'loss': 1.5818, 'grad_norm': 7.633051872253418, 'learning_rate': 4.938271604938272e-07, 'epoch': 0.0}
{'loss': 1.3184, 'grad_norm': 8.87362003326416, 'learning_rate': 5.432098765432098e-07, 'epoch': 0.0}
{'loss': 1.1202, 'grad_norm': 7.518126010894775, 'learning_rate': 5.925925925925926e-07, 'epoch': 0.0}
{'loss': 1.0421, 'grad_norm': 5.704010486602783, 'learning_rate': 6.419753086419753e-07, 'epoch': 0.0}
{'loss': 1.0457, 'grad_norm': 5.920137882232666, 'learning_rate': 6.913580246913581e-07, 'epoch': 0.0}
{'loss': 1.3373, 'grad_norm': 7.880463123321533, 'learning_rate': 7.407407407407407e-07, 'epoch': 0.0}
{'loss': 1.112, 'grad_norm': 7.9180803298950195, 'learning_rate': 7.901234567901235e-07, 'epoch': 0.0}
{'loss': 1.2018, 'grad_norm': 7.6493377685546875, 'learning_rate': 8.395061728395062e-07, 'epoch': 0.0}
{'loss': 1.5777, 'grad_norm': 12.36965274810791, 'learning_rate': 8.88888888888889e-07, 'epoch': 0.0}
{'loss': 0.9298, 'grad_norm': 8.310547828674316, 'learning_rate': 9.382716049382717e-07, 'epoch': 0.0}
{'loss': 1.7583, 'grad_norm': 10.735064506530762, 'learning_rate': 9.876543209876544e-07, 'epoch': 0.0}
{'loss': 1.3287, 'grad_norm': 6.387909412384033, 'learning_rate': 1.037037037037037e-06, 'epoch': 0.0}
{'loss': 1.1196, 'grad_norm': 7.5913519859313965, 'learning_rate': 1.0864197530864197e-06, 'epoch': 0.0}
{'loss': 1.1107, 'grad_norm': 6.972079753875732, 'learning_rate': 1.1358024691358024e-06, 'epoch': 0.0}
{'loss': 1.055, 'grad_norm': 8.62614631652832, 'learning_rate': 1.1851851851851852e-06, 'epoch': 0.0}
{'loss': 1.1883, 'grad_norm': 6.336122512817383, 'learning_rate': 1.234567901234568e-06, 'epoch': 0.0}
{'loss': 1.3212, 'grad_norm': 7.646998405456543, 'learning_rate': 1.2839506172839507e-06, 'epoch': 0.0}
{'loss': 1.4687, 'grad_norm': 8.032393455505371, 'learning_rate': 1.3333333333333334e-06, 'epoch': 0.0}
{'loss': 1.9251, 'grad_norm': 9.147610664367676, 'learning_rate': 1.3827160493827162e-06, 'epoch': 0.0}
{'loss': 1.289, 'grad_norm': 9.61861515045166, 'learning_rate': 1.432098765432099e-06, 'epoch': 0.0}
{'loss': 1.0475, 'grad_norm': 8.36398983001709, 'learning_rate': 1.4814814814814815e-06, 'epoch': 0.0}
{'loss': 1.3955, 'grad_norm': 7.754990100860596, 'learning_rate': 1.5308641975308642e-06, 'epoch': 0.0}
{'loss': 1.1929, 'grad_norm': 6.267819404602051, 'learning_rate': 1.580246913580247e-06, 'epoch': 0.0}
{'loss': 1.4106, 'grad_norm': 6.531831741333008, 'learning_rate': 1.6296296296296297e-06, 'epoch': 0.0}
{'loss': 1.2253, 'grad_norm': 7.1593241691589355, 'learning_rate': 1.6790123456790125e-06, 'epoch': 0.0}
{'loss': 0.9773, 'grad_norm': 6.141221523284912, 'learning_rate': 1.7283950617283952e-06, 'epoch': 0.0}
{'loss': 1.2136, 'grad_norm': 7.1137375831604, 'learning_rate': 1.777777777777778e-06, 'epoch': 0.0}
{'loss': 0.945, 'grad_norm': 4.763280868530273, 'learning_rate': 1.8271604938271607e-06, 'epoch': 0.0}
{'loss': 1.1921, 'grad_norm': 7.123299598693848, 'learning_rate': 1.8765432098765435e-06, 'epoch': 0.0}
{'loss': 1.0043, 'grad_norm': 6.32078218460083, 'learning_rate': 1.925925925925926e-06, 'epoch': 0.0}
{'loss': 1.5022, 'grad_norm': 10.066415786743164, 'learning_rate': 1.9753086419753087e-06, 'epoch': 0.0}
{'loss': 1.5125, 'grad_norm': 8.133054733276367, 'learning_rate': 2.0246913580246915e-06, 'epoch': 0.0}
{'loss': 1.2621, 'grad_norm': 6.875082015991211, 'learning_rate': 2.074074074074074e-06, 'epoch': 0.0}
{'loss': 1.177, 'grad_norm': 5.488685607910156, 'learning_rate': 2.1234567901234566e-06, 'epoch': 0.0}
